time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,brake_pct,p_term_nm,i_term_nm,d_term_nm,integral,est_mass_kg,est_drag,model_conf,steering_deg
3.020,5.500,4.990,0.510,8233.840,0.000,7650.000,6583.840,-6000.000,8.230,0.0,0.000,1.00,0.00
3.030,5.500,5.000,0.500,11087.840,0.000,7500.000,6587.840,-3000.000,8.235,0.0,0.000,1.00,0.00
3.040,5.500,5.010,0.490,10941.760,0.000,7350.000,6591.760,-3000.000,8.240,0.0,0.000,1.00,0.00
3.060,5.500,5.010,0.490,13945.680,0.000,7350.000,6595.680,0.000,8.245,0.0,0.000,1.00,0.00
3.070,5.500,5.010,0.490,13949.600,0.000,7350.000,6599.600,0.000,8.249,0.0,0.000,1.00,0.00
3.080,5.500,5.030,0.470,7653.360,0.000,7050.000,6603.360,-6000.000,8.254,0.0,0.000,1.00,0.00
3.090,5.500,5.030,0.470,13657.120,0.000,7050.000,6607.120,-0.000,8.259,0.0,0.000,1.00,0.00
3.100,5.500,5.030,0.470,13660.880,0.000,7050.000,6610.880,0.000,8.264,0.0,0.000,1.00,0.00
3.110,5.500,5.030,0.470,13664.640,0.000,7050.000,6614.640,0.000,8.268,0.0,0.000,1.00,0.00
3.120,5.500,5.050,0.450,7368.240,0.000,6750.000,6618.240,-6000.000,8.273,0.0,0.000,1.00,0.00
3.130,5.500,5.050,0.450,13371.840,0.000,6750.000,6621.840,0.000,8.277,0.0,0.000,1.00,0.00
3.140,5.500,5.060,0.440,10225.360,0.000,6600.000,6625.360,-3000.000,8.282,0.0,0.000,1.00,0.00
3.150,5.500,5.070,0.430,10078.800,0.000,6450.000,6628.800,-3000.000,8.286,0.0,0.000,1.00,0.00
3.160,5.500,5.070,0.430,13082.240,0.000,6450.000,6632.240,0.000,8.290,0.0,0.000,1.00,0.00
3.170,5.500,5.080,0.420,9935.600,0.000,6300.000,6635.600,-3000.000,8.294,0.0,0.000,1.00,0.00
3.180,5.500,5.090,0.410,9788.880,0.000,6150.000,6638.880,-3000.000,8.299,0.0,0.000,1.00,0.00
3.190,5.500,5.090,0.410,12792.160,0.000,6150.000,6642.160,0.000,8.303,0.0,0.000,1.00,0.00
3.200,5.500,5.100,0.400,9645.360,0.000,6000.000,6645.360,-3000.000,8.307,0.0,0.000,1.00,0.00
3.210,5.500,5.100,0.400,12648.560,0.000,6000.000,6648.560,-0.000,8.311,0.0,0.000,1.00,0.00
3.220,5.500,5.110,0.390,9501.680,0.000,5850.000,6651.680,-3000.000,8.315,0.0,0.000,1.00,0.00
3.230,5.500,5.110,0.390,12504.800,0.000,5850.000,6654.800,0.000,8.318,0.0,0.000,1.00,0.00
3.240,5.500,5.130,0.370,6207.760,0.000,5550.000,6657.760,-6000.000,8.322,0.0,0.000,1.00,0.00
3.250,5.500,5.140,0.360,9060.640,0.000,5400.000,6660.640,-3000.000,8.326,0.0,0.000,1.00,0.00
3.260,5.500,5.140,0.360,12063.520,0.000,5400.000,6663.520,-0.000,8.329,0.0,0.000,1.00,0.00
3.270,5.500,5.140,0.360,12066.400,0.000,5400.000,6666.400,0.000,8.333,0.0,0.000,1.00,0.00
3.280,5.500,5.150,0.350,8919.200,0.000,5250.000,6669.200,-3000.000,8.336,0.0,0.000,1.00,0.00
3.290,5.500,5.160,0.340,8771.920,0.000,5100.000,6671.920,-3000.000,8.340,0.0,0.000,1.00,0.00
3.300,5.500,5.160,0.340,11774.640,0.000,5100.000,6674.640,0.000,8.343,0.0,0.000,1.00,0.00
3.310,5.500,5.170,0.330,8627.280,0.000,4950.000,6677.280,-3000.000,8.347,0.0,0.000,1.00,0.00
3.320,5.500,5.170,0.330,11629.920,0.000,4950.000,6679.920,0.000,8.350,0.0,0.000,1.00,0.00
3.330,5.500,5.180,0.320,8482.480,0.000,4800.000,6682.480,-3000.000,8.353,0.0,0.000,1.00,0.00
3.340,5.500,5.190,0.310,8334.960,0.000,4650.000,6684.960,-3000.000,8.356,0.0,0.000,1.00,0.00
3.350,5.500,5.190,0.310,11337.440,0.000,4650.000,6687.440,0.000,8.359,0.0,0.000,1.00,0.00
3.360,5.500,5.190,0.310,11339.920,0.000,4650.000,6689.920,0.000,8.362,0.0,0.000,1.00,0.00
3.370,5.500,5.190,0.310,11342.400,0.000,4650.000,6692.400,0.000,8.365,0.0,0.000,1.00,0.00
3.380,5.500,5.210,0.290,5044.720,0.000,4350.000,6694.720,-6000.000,8.368,0.0,0.000,1.00,0.00
3.390,5.500,5.210,0.290,11047.040,0.000,4350.000,6697.040,0.000,8.371,0.0,0.000,1.00,0.00
3.400,5.500,5.210,0.290,11049.360,0.000,4350.000,6699.360,0.000,8.374,0.0,0.000,1.00,0.00
3.410,5.500,5.220,0.280,7901.600,0.000,4200.000,6701.600,-3000.000,8.377,0.0,0.000,1.00,0.00
3.420,5.500,5.230,0.270,7753.760,0.000,4050.000,6703.760,-3000.000,8.380,0.0,0.000,1.00,0.00
3.430,5.500,5.230,0.270,10755.920,0.000,4050.000,6705.920,0.000,8.382,0.0,0.000,1.00,0.00
3.440,5.500,5.240,0.260,7608.000,0.000,3900.000,6708.000,-3000.000,8.385,0.0,0.000,1.00,0.00
3.450,5.500,5.240,0.260,10610.080,0.000,3900.000,6710.080,0.000,8.388,0.0,0.000,1.00,0.00
3.460,5.500,5.250,0.250,7462.080,0.000,3750.000,6712.080,-3000.000,8.390,0.0,0.000,1.00,0.00
3.470,5.500,5.250,0.250,10464.080,0.000,3750.000,6714.080,-0.000,8.393,0.0,0.000,1.00,0.00
3.480,5.500,5.260,0.240,7316.000,0.000,3600.000,6716.000,-3000.000,8.395,0.0,0.000,1.00,0.00
3.490,5.500,5.260,0.240,10317.920,0.000,3600.000,6717.920,0.000,8.397,0.0,0.000,1.00,0.00
3.500,5.500,5.270,0.230,7169.760,0.000,3450.000,6719.760,-3000.000,8.400,0.0,0.000,1.00,0.00
3.510,5.500,5.270,0.230,10171.600,0.000,3450.000,6721.600,0.000,8.402,0.0,0.000,1.00,0.00
3.520,5.500,5.280,0.220,7023.360,0.000,3300.000,6723.360,-3000.000,8.404,0.0,0.000,1.00,0.00
3.530,5.500,5.280,0.220,10025.120,0.000,3300.000,6725.120,0.000,8.406,0.0,0.000,1.00,0.00
3.540,5.500,5.290,0.210,6876.800,0.000,3150.000,6726.800,-3000.000,8.408,0.0,0.000,1.00,0.00
3.550,5.500,5.290,0.210,9878.480,0.000,3150.000,6728.480,0.000,8.411,0.0,0.000,1.00,0.00
3.560,5.500,5.300,0.200,6730.080,0.000,3000.000,6730.080,-3000.000,8.413,0.0,0.000,1.00,0.00
3.570,5.500,5.300,0.200,9731.680,0.000,3000.000,6731.680,0.000,8.415,0.0,0.000,1.00,0.00
3.580,5.500,5.300,0.200,9733.280,0.000,3000.000,6733.280,-0.000,8.417,0.0,0.000,1.00,0.00
3.590,5.500,5.310,0.190,6584.800,0.000,2850.000,6734.800,-3000.000,8.418,0.0,0.000,1.00,0.00
3.600,5.500,5.310,0.190,9586.320,0.000,2850.000,6736.320,0.000,8.420,0.0,0.000,1.00,0.00
3.610,5.500,5.320,0.180,6437.760,0.000,2700.000,6737.760,-3000.000,8.422,0.0,0.000,1.00,0.00
3.620,5.500,5.320,0.180,9439.200,0.000,2700.000,6739.200,0.000,8.424,0.0,0.000,1.00,0.00
3.630,5.500,5.330,0.170,6290.560,0.000,2550.000,6740.560,-3000.000,8.426,0.0,0.000,1.00,0.00
3.640,5.500,5.330,0.170,9291.920,0.000,2550.000,6741.920,0.000,8.427,0.0,0.000,1.00,0.00
3.650,5.500,5.340,0.160,6143.200,0.000,2400.000,6743.200,-3000.000,8.429,0.0,0.000,1.00,0.00
3.660,5.500,5.340,0.160,9144.480,0.000,2400.000,6744.480,0.000,8.431,0.0,0.000,1.00,0.00
3.670,5.500,5.340,0.160,9145.760,0.000,2400.000,6745.760,0.000,8.432,0.0,0.000,1.00,0.00
3.680,5.500,5.350,0.150,5996.960,0.000,2250.000,6746.960,-3000.000,8.434,0.0,0.000,1.00,0.00
3.690,5.500,5.350,0.150,8998.160,0.000,2250.000,6748.160,-0.000,8.435,0.0,0.000,1.00,0.00
3.700,5.500,5.360,0.140,5849.280,0.000,2100.000,6749.280,-3000.000,8.437,0.0,0.000,1.00,0.00
3.710,5.500,5.360,0.140,8850.400,0.000,2100.000,6750.400,0.000,8.438,0.0,0.000,1.00,0.00
3.720,5.500,5.370,0.130,5701.440,0.000,1950.000,6751.440,-3000.000,8.439,0.0,0.000,1.00,0.00
3.730,5.500,5.370,0.130,8702.480,0.000,1950.000,6752.480,0.000,8.441,0.0,0.000,1.00,0.00
3.740,5.500,5.370,0.130,8703.520,0.000,1950.000,6753.520,0.000,8.442,0.0,0.000,1.00,0.00
3.750,5.500,5.370,0.130,8704.560,0.000,1950.000,6754.560,0.000,8.443,0.0,0.000,1.00,0.00
3.760,5.500,5.390,0.110,2405.440,0.000,1650.000,6755.440,-6000.000,8.444,0.0,0.000,1.00,0.00
3.770,5.500,5.390,0.110,8406.320,0.000,1650.000,6756.320,0.000,8.445,0.0,0.000,1.00,0.00
3.780,5.500,5.390,0.110,8407.200,0.000,1650.000,6757.200,0.000,8.446,0.0,0.000,1.00,0.00
3.790,5.500,5.390,0.110,8408.080,0.000,1650.000,6758.080,0.000,8.448,0.0,0.000,1.00,0.00
3.800,5.500,5.400,0.100,5258.880,0.000,1500.000,6758.880,-3000.000,8.449,0.0,0.000,1.00,0.00
3.810,5.500,5.410,0.090,5109.600,0.000,1350.000,6759.600,-3000.000,8.449,0.0,0.000,1.00,0.00
3.820,5.500,5.410,0.090,8110.320,0.000,1350.000,6760.320,0.000,8.450,0.0,0.000,1.00,0.00
3.830,5.500,5.410,0.090,8111.040,0.000,1350.000,6761.040,0.000,8.451,0.0,0.000,1.00,0.00
3.840,5.500,5.420,0.080,4961.680,0.000,1200.000,6761.680,-3000.000,8.452,0.0,0.000,1.00,0.00
3.850,5.500,5.420,0.080,7962.320,0.000,1200.000,6762.320,0.000,8.453,0.0,0.000,1.00,0.00
3.860,5.500,5.420,0.080,7962.960,0.000,1200.000,6762.960,0.000,8.454,0.0,0.000,1.00,0.00
3.870,5.500,5.420,0.080,7963.600,0.000,1200.000,6763.600,0.000,8.454,0.0,0.000,1.00,0.00
3.880,5.500,5.430,0.070,4814.160,0.000,1050.000,6764.160,-3000.000,8.455,0.0,0.000,1.00,0.00
3.890,5.500,5.430,0.070,7814.720,0.000,1050.000,6764.720,0.000,8.456,0.0,0.000,1.00,0.00
3.900,5.500,5.440,0.060,4665.200,0.000,900.000,6765.200,-3000.000,8.456,0.0,0.000,1.00,0.00
3.910,5.500,5.440,0.060,7665.680,0.000,900.000,6765.680,0.000,8.457,0.0,0.000,1.00,0.00
3.920,5.500,5.440,0.060,7666.160,0.000,900.000,6766.160,-0.000,8.458,0.0,0.000,1.00,0.00
3.930,5.500,5.450,0.050,4516.160,0.000,750.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
3.940,5.500,5.450,0.050,7516.160,0.000,750.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
3.950,5.500,5.450,0.050,7516.160,0.000,750.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
3.960,5.500,5.460,0.040,4366.160,0.000,600.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
3.970,5.500,5.460,0.040,7366.160,0.000,600.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
3.980,5.500,5.470,0.030,4216.160,0.000,450.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
3.990,5.500,5.470,0.030,7216.160,0.000,450.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.000,5.500,5.470,0.030,7216.160,0.000,450.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.010,5.500,5.480,0.020,4066.160,0.000,300.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.020,5.500,5.480,0.020,7066.160,0.000,300.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.030,5.500,5.480,0.020,7066.160,0.000,300.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.040,5.500,5.480,0.020,7066.160,0.000,300.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.050,5.500,5.490,0.010,3916.160,0.000,150.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.070,5.500,5.500,0.000,3766.160,0.000,0.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.080,5.500,5.500,0.000,6766.160,0.000,0.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.090,5.500,5.500,0.000,6766.160,0.000,0.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.100,5.500,5.500,0.000,6766.160,0.000,0.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.110,5.500,5.510,-0.010,3616.160,0.000,-150.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.120,5.500,5.510,-0.010,6616.160,0.000,-150.000,6766.160,-0.000,8.458,0.0,0.000,1.00,0.00
4.130,5.500,5.510,-0.010,6616.160,0.000,-150.000,6766.160,-0.000,8.458,0.0,0.000,1.00,0.00
4.140,5.500,5.520,-0.020,3466.160,0.000,-300.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.150,5.500,5.520,-0.020,6466.160,0.000,-300.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.160,5.500,5.520,-0.020,6466.160,0.000,-300.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.170,5.500,5.530,-0.030,3316.160,0.000,-450.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.180,5.500,5.530,-0.030,6316.160,0.000,-450.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.190,5.500,5.530,-0.030,6316.160,0.000,-450.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.200,5.500,5.540,-0.040,3166.160,0.000,-600.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.210,5.500,5.540,-0.040,6166.160,0.000,-600.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.220,5.500,5.540,-0.040,6166.160,0.000,-600.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.230,5.500,5.540,-0.040,6166.160,0.000,-600.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.240,5.500,5.550,-0.050,3016.160,0.000,-750.000,6766.160,-3000.000,8.458,0.0,0.000,1.00,0.00
4.250,5.500,5.550,-0.050,6016.160,0.000,-750.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.260,5.500,5.550,-0.050,6016.160,0.000,-750.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.270,5.500,5.550,-0.050,6016.160,0.000,-750.000,6766.160,0.000,8.458,0.0,0.000,1.00,0.00
4.280,5.500,5.560,-0.060,2865.680,0.000,-900.000,6765.680,-3000.000,8.457,0.0,0.000,1.00,0.00
4.290,5.500,5.560,-0.060,5865.200,0.000,-900.000,6765.200,0.000,8.456,0.0,0.000,1.00,0.00
4.300,5.500,5.560,-0.060,5864.720,0.000,-900.000,6764.720,0.000,8.456,0.0,0.000,1.00,0.00
4.310,5.500,5.570,-0.070,2714.160,0.000,-1050.000,6764.160,-3000.000,8.455,0.0,0.000,1.00,0.00
4.320,5.500,5.570,-0.070,5713.600,0.000,-1050.000,6763.600,0.000,8.454,0.0,0.000,1.00,0.00
4.330,5.500,5.570,-0.070,5713.040,0.000,-1050.000,6763.040,0.000,8.454,0.0,0.000,1.00,0.00
4.340,5.500,5.570,-0.070,5712.480,0.000,-1050.000,6762.480,0.000,8.453,0.0,0.000,1.00,0.00
4.350,5.500,5.580,-0.080,2561.840,0.000,-1200.000,6761.840,-3000.000,8.452,0.0,0.000,1.00,0.00
4.360,5.500,5.580,-0.080,5561.200,0.000,-1200.000,6761.200,0.000,8.451,0.0,0.000,1.00,0.00
4.370,5.500,5.580,-0.080,5560.560,0.000,-1200.000,6760.560,0.000,8.451,0.0,0.000,1.00,0.00
4.380,5.500,5.580,-0.080,5559.920,0.000,-1200.000,6759.920,0.000,8.450,0.0,0.000,1.00,0.00
4.390,5.500,5.580,-0.080,5559.280,0.000,-1200.000,6759.280,0.000,8.449,0.0,0.000,1.00,0.00
4.400,5.500,5.590,-0.090,2408.560,0.000,-1350.000,6758.560,-3000.000,8.448,0.0,0.000,1.00,0.00
4.410,5.500,5.590,-0.090,5407.840,0.000,-1350.000,6757.840,0.000,8.447,0.0,0.000,1.00,0.00
